nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
QN61,3,High Opportunity,0.6837313820340283,0.0352422907488986,0.5288121090953835,2.0,0.5073891625615764,0.2939244663382594,4.7578125,1.0,Low,0.6850173964517647,"QN56,QN05,QN72",16
QN56,3,High Opportunity,0.6755680323640616,0.0357142857142857,0.5180537718028121,1.0,0.5285714285714286,0.2785714285714286,4.375,1.0,Low,0.6774487216667495,"QN61,QN05,QN72",17
BX34,3,High Opportunity,0.6110821705222498,0.0101010101010101,0.579146682154884,1.0,0.44902912621359226,0.4830097087378641,2.9014084507042255,1.0,Low,0.6760915410708535,"BX39,QN17,QN20",18
MN14,3,High Opportunity,0.5860237908880146,0.0,0.6036235173824518,0.0,0.47249190938511326,0.343042071197411,3.5930232558139537,1.0,Low,0.6758589233081866,"MN03,QN20,BX39",19
BX39,3,High Opportunity,0.6024139696977044,0.0074074074074074,0.5836282285404386,1.0,0.5247524752475248,0.26732673267326734,4.590909090909091,1.0,Low,0.6744168792952572,"BX34,QN20,QN17",20
SI35,3,High Opportunity,0.7067227056690274,0.0,0.7279473155237498,0.0,0.0,0.0,1.0,0.5,Medium,0.6738680084771108,"BK85,BK72,BX29",21
QN20,3,High Opportunity,0.5892112066987043,0.0036363636363636,0.5888030585536894,1.0,0.5294117647058824,0.33206831119544594,3.6597222222222223,1.0,Low,0.6712057061009575,"MN14,MN03,BX39",22
BK85,3,High Opportunity,0.685775417508912,0.0,0.7063709291117366,0.0,0.0,0.0,1.0,0.5,Medium,0.6568585386482594,"SI35,BX29,BK72",23
SI07,3,High Opportunity,0.7288956249858847,0.0217391304347826,0.6425580951727384,2.0,0.0,0.0,1.0,0.5,Medium,0.6485814880634492,"QN43,QN53,BK75",24
BX29,3,High Opportunity,0.6614065845652585,0.0,0.6812702405651782,0.0,0.5578512396694215,0.33884297520661155,3.611940298507463,0.5,Medium,0.6370707300521746,"BK85,SI35,QN34",25
QN42,1,Growing Market,0.5344719931130613,0.0,0.5505234931442675,0.0,0.5161290322580645,0.3548387096774194,3.576923076923077,1.0,Low,0.6339981945029316,"SI11,QN21,MN40",26
BK29,1,Growing Market,0.5655604401370483,0.0144927536231884,0.5103935711236037,1.0,0.5191082802547771,0.34394904458598724,3.925,1.0,Low,0.630381604504261,"QN41,BK61,BK21",27
SI11,1,Growing Market,0.5240009671855896,0.0,0.5397379967203672,0.0,0.5214285714285715,0.34285714285714286,3.4146341463414633,1.0,Low,0.6254955855623827,"QN42,QN21,MN40",28
BK75,3,High Opportunity,0.6719654258423496,0.0103092783505154,0.6408215489838189,2.0,0.0,0.0,1.0,0.5,Medium,0.6251147899304674,"BK45,SI35,BK85",29
BK21,1,Growing Market,0.5450932449647148,0.0108695652173913,0.5073497038347308,1.0,0.525,0.3,3.870967741935484,1.0,Low,0.6209771795197783,"BK61,SI05,BK29",30
QN41,1,Growing Market,0.5519111048115137,0.0151515151515151,0.4930546751273316,1.0,0.5348837209302325,0.4186046511627907,4.161290322580645,1.0,Low,0.6179863119755382,"BK61,BK29,BK21",31
BK61,1,Growing Market,0.5441965409865992,0.0139372822299651,0.4911534707318387,2.0,0.5069551777434312,0.29984544049459044,4.556338028169014,1.0,Low,0.6141400046873753,"QN41,BK21,BK29",32
MN40,1,Growing Market,0.5229634271147341,0.0058479532163742,0.5095553193328517,2.0,0.47058823529411764,0.2549019607843137,4.135135135135135,1.0,Low,0.6130074985790344,"MN25,SI11,QN21",33
QN21,1,Growing Market,0.5078752522766636,0.0,0.5231279871866541,0.0,0.3880597014925373,0.5522388059701493,2.9130434782608696,1.0,Low,0.6124012957853271,"SI11,QN42,MN40",34
BK43,1,Growing Market,0.5621855657050568,0.0229885057471264,0.4646213227466039,1.0,0.5348837209302325,0.23920265780730898,4.854838709677419,1.0,Low,0.6107227553806643,"QN41,MN31,BK29",35
BK45,3,High Opportunity,0.6515415892594641,0.0103092783505154,0.6197843346790475,1.0,0.0,0.0,1.0,0.5,Medium,0.6085303695754046,"BK75,BK63,BX29",36
MN25,1,Growing Market,0.5126398568370276,0.0066666666666666,0.4948457501688048,3.0,0.5369955156950673,0.3419282511210762,3.878260869565217,1.0,Low,0.6029942428023329,"MN40,QN54,SI05",37
SI05,1,Growing Market,0.5240009671855896,0.0117647058823529,0.4811675244327339,1.0,0.5272108843537415,0.3129251700680272,3.769230769230769,1.0,Low,0.6020673966473296,"BK61,BK21,MN31",38
QN34,3,High Opportunity,0.6172964547465084,0.0,0.6358353757569702,0.0,0.5441860465116279,0.27906976744186046,4.886363636363637,0.5,Medium,0.6012527322013915,"BK96,BX29,BK85",39
QN53,3,High Opportunity,0.6843153921697094,0.0277777777777777,0.5665756627424081,2.0,0.5590277777777778,0.2604166666666667,4.430769230769231,0.5,Medium,0.6003564219648471,"SI07,SI12,QN43",40
