nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,halal_demand_forecast_norm,final_score_adjusted
MN40,1,Growing Market,0.5229634271147341,0.0058479532163742,0.5095553193328517,2.0,0.4705882352941176,0.2549019607843137,4.135135135135135,1.0,0.6130074985790344,"MN25,SI11,QN21",44,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5438674554623555
QN21,1,Growing Market,0.5078752522766636,0.0,0.5231279871866541,0.0,0.3880597014925373,0.5522388059701493,2.9130434782608696,1.0,0.6124012957853271,"SI11,QN42,MN40",45,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5433296252210094
MN25,1,Growing Market,0.5126398568370276,0.0066666666666666,0.4948457501688048,3.0,0.5369955156950673,0.3419282511210762,3.878260869565217,1.0,0.6029942428023329,"MN40,QN54,SI05",46,1.0,High,Medium-High Risk,High confidence,0.522930374403269,1.7279131758617283,0.5894267139650217,0.5427558841633415
MN31,1,Growing Market,0.5245556372467512,0.0161290322580645,0.4600110967426297,3.0,0.5114155251141552,0.3302891933028919,4.132075471698113,1.0,0.5938266935957524,"MN20,BK61,SI05",47,1.0,High,Medium-High Risk,High confidence,0.5875234870681512,1.874254981455879,0.711481290502126,0.5406648990513894
BK43,1,Growing Market,0.5621855657050568,0.0229885057471264,0.4646213227466039,1.0,0.5348837209302325,0.2392026578073089,4.854838709677419,1.0,0.6107227553806643,"QN41,MN31,BK29",48,1.0,High,Medium-High Risk,High confidence,0.41896458336916814,1.9528777308510705,0.3929738713090701,0.5395141793392356
SI05,1,Growing Market,0.5240009671855896,0.0117647058823529,0.4811675244327339,1.0,0.5272108843537415,0.3129251700680272,3.769230769230769,1.0,0.6020673966473296,"BK61,BK21,MN31",49,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5341612684844029
QN54,1,Growing Market,0.4911826430544718,0.0069444444444444,0.4713612098928011,1.0,0.5219298245614035,0.3289473684210526,4.384615384615385,1.0,0.5850175411789091,"MN25,MN40,QN02",50,1.0,High,Medium-High Risk,High confidence,0.4371885894733486,1.9528777308510705,0.4274097926648877,0.5185184992104237
QN02,1,Growing Market,0.4725372074013947,0.0,0.4867286544689403,0.0,0.5222222222222223,0.4166666666666667,3.9130434782608696,1.0,0.5837063447481341,"BX14,QN21,QN54",51,0.9999999999999999,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5178711275005237
MN20,1,Growing Market,0.5016186148221246,0.0137362637362637,0.4482975939876025,3.0,0.5155440414507773,0.3316062176165803,4.46242774566474,1.0,0.5799664835238909,"MN31,SI05,QN54",52,1.0,High,Medium-High Risk,High confidence,0.4596568169934804,1.625681752091319,0.4698655574108395,0.5161345443754547
QN55,3,High Opportunity,0.6157089857730225,0.0164835164835164,0.5521372068518993,1.0,0.5474747474747474,0.2424242424242424,4.852941176470588,0.5,0.5671384770499687,"BK63,SI12,BK40",53,1.0,High,Medium-High Risk,High confidence,0.4893329693253629,1.9528777308510705,0.5259413533693115,0.5074216396367084
SI12,3,High Opportunity,0.6186121885355698,0.0196078431372549,0.5395731704342263,1.0,0.5465116279069767,0.1162790697674418,4.3,0.5,0.5632741435879184,"QN55,BK40,BK63",54,0.9999999999999999,High,Medium-High Risk,High confidence,0.46518707755706096,1.9528777308510705,0.4803154890425544,0.5017797121878396
BX14,1,Growing Market,0.4468517887148048,0.0,0.4602718398922722,0.0,0.4927536231884058,0.3188405797101449,3.136363636363636,1.0,0.5628494514428308,"QN02,SI08,QN18",55,1.0000000000000002,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4993666466954774
BK88,3,High Opportunity,0.5661838287425303,0.0,0.5831877126912384,0.0,0.5619469026548672,0.2566371681415929,4.185185185185185,0.5,0.5597486165735075,"MN35,BK96,QN34",56,1.0,High,Medium-High Risk,High confidence,0.4409709050573433,1.9528777308510705,0.4345568228649845,0.4964619434232879
BK42,2,Established Hub,0.6235154717115564,0.0779816513761468,0.2540102821747695,3.0,0.5322812051649928,0.2553802008608321,5.125,1.0,0.5510103015545305,"QN70,BK41,QN35",57,1.0000000000000002,High,High Risk,High confidence,0.4538929825393623,3.3548216005779485,0.4589742666136732,0.4898552179908193
QN70,2,Established Hub,0.5627860754843091,0.0631364562118126,0.2653636915937207,5.0,0.516548463356974,0.3156028368794326,4.2727272727272725,1.0,0.531259906831212,"BK42,BK41,BK46",58,1.0000000000000002,High,High Risk,High confidence,0.6375579487590979,5.125751378329545,0.8060259684406871,0.4879687096828038
MN13,1,Growing Market,0.4384712649320295,0.0142045454545454,0.3809224389491598,4.0,0.5311387900355872,0.344306049822064,4.14760147601476,1.0,0.5277574815524757,"MN11,BK32,MN19",59,1.0,High,Medium-High Risk,High confidence,0.6691049711018056,2.401730103514545,0.8656369438866677,0.4874258010623791
BK09,1,Growing Market,0.5054784688181406,0.0223880597014925,0.4092004878866897,1.0,0.0,0.0,1.0,0.5,0.4658715826819322,"BK26,MN28,SI54",60,1.8152015373361555e-92,Low,Medium-Low Risk,Low confidence,0.4225835716050759,1.9528777308510705,0.39981227959136106,0.484497700628822
MN11,1,Growing Market,0.4537345570764828,0.018348623853211,0.3760128715897188,2.0,0.5241635687732342,0.2193308550185873,4.846846846846847,1.0,0.5318989714664806,"MN13,QN15,MN19",61,1.0,High,Medium-High Risk,High confidence,0.511784070179657,1.9528777308510705,0.568364755718406,0.47781069921018404
QN18,1,Growing Market,0.4115895367066903,0.0,0.4239505762867269,0.0,0.4887892376681614,0.3811659192825112,4.2075471698113205,1.0,0.534216045197367,"SI08,QN07,BX41",62,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4739627522373535
MN35,3,High Opportunity,0.5486498356253705,0.0,0.5651271309133185,0.0,0.5544871794871795,0.3237179487179487,3.627906976744186,0.5,0.5455107866154756,"BK88,BK96,SI45",63,0.9999999999999999,High,Medium-High Risk,High confidence,0.3279379541525058,1.9528777308510705,0.2209707548114794,0.47393023269663354
QN07,1,Growing Market,0.4070281313724342,0.0,0.4192521808036725,0.0,0.4406779661016949,0.3220338983050847,3.2777777777777777,1.0,0.5305121248704427,"QN18,BX41,SI08",64,1.0000000000000004,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.47067659060293776
BX26,1,Growing Market,0.4269794082961786,0.0,0.4398026433279546,0.0,0.0,0.0,1.0,0.5,0.4467128206496533,"QN29,SI54,SI45",65,7.393679397944859e-97,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.46626925090842275
BX41,1,Growing Market,0.4007491603265086,0.0,0.4127846369134476,0.0,0.4926829268292683,0.3219512195121951,4.456521739130435,1.0,0.5254135188959825,"QN07,QN18,SI08",66,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4661530474747336
