nta_id,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast
SI07,3.7680990425744474e-81,Low,Medium-Low Risk,Low confidence,0.6428223475572262,
SI08,1.7014950778545252e-48,Low,Low Risk,Low confidence,,
SI11,0.9999999999999999,High,Medium-High Risk,High confidence,,
SI12,0.9999999999999999,High,Medium-High Risk,High confidence,0.46518707755706096,
SI14,2.7357244626108326e-78,Low,Medium-Low Risk,Low confidence,,
SI22,0.9999999999999997,High,High Risk,High confidence,,
SI24,3.35371893315405e-120,Low,Medium-Low Risk,Low confidence,,
SI28,0.9999999999999999,High,High Risk,High confidence,,
SI35,5.321225574186342e-82,Low,Medium-Low Risk,Low confidence,,
SI36,1.0,High,High Risk,High confidence,,1.7480389710098678
SI37,1.0,High,Medium-High Risk,High confidence,,
SI45,1.0000000000000002,High,Medium-High Risk,High confidence,,
SI54,0.9999999999999999,High,High Risk,High confidence,,
