nta,restaurant_count,halal_count,halal_share,avg_rating,total_review_count
QN0102,5,1,0.2,3.54,215
QN0103,50,17,0.34,3.658,16198
QN0104,61,31,0.5081967213114754,3.595081967213115,6178
QN0105,27,13,0.48148148148148145,3.4074074074074074,2668
QN0161,3,1,0.3333333333333333,2.766666666666667,73
QN0201,28,10,0.35714285714285715,3.7857142857142856,3585
QN0202,31,13,0.41935483870967744,3.9451612903225803,3661
QN0203,18,7,0.3888888888888889,2.838888888888889,1809
QN0261,2,1,0.5,1.9,5
QN0301,54,15,0.2777777777777778,3.490740740740741,8207
QN0302,3,2,0.6666666666666666,2.1333333333333333,53
QN0303,3,1,0.3333333333333333,3.8666666666666667,20
QN0401,44,18,0.4090909090909091,3.434090909090909,10402
QN0402,5,3,0.6,2.3600000000000003,95
QN0501,5,2,0.4,3.28,170
QN0502,17,7,0.4117647058823529,3.4176470588235293,504
QN0503,2,0,0.0,3.85,403
QN0504,7,2,0.2857142857142857,3.3857142857142857,1095
QN0601,22,5,0.22727272727272727,2.7772727272727273,1475
QN0602,44,9,0.20454545454545456,3.3659090909090907,7249
QN0701,5,1,0.2,3.56,1547
QN0702,4,0,0.0,4.025,783
QN0703,3,0,0.0,3.266666666666667,749
QN0704,10,3,0.3,3.6799999999999997,2551
QN0705,4,2,0.5,4.125,416
QN0706,5,1,0.2,3.4200000000000004,765
QN0707,33,8,0.24242424242424243,3.7333333333333334,8500
QN0801,24,3,0.125,3.275,1400
QN0802,14,7,0.5,3.9285714285714284,1220
QN0803,19,6,0.3157894736842105,3.363157894736842,3070
QN0804,16,7,0.4375,2.325,777
QN0805,15,6,0.4,3.3866666666666663,1644
QN0901,8,2,0.25,3.4625,1560
QN0902,10,7,0.7,1.9600000000000002,257
QN0903,9,3,0.3333333333333333,2.9000000000000004,499
QN0904,7,4,0.5714285714285714,2.6714285714285713,137
QN0905,4,2,0.5,4.125,76
QN1001,42,23,0.5476190476190477,3.0238095238095237,3058
QN1002,10,6,0.6,3.18,480
QN1003,2,0,0.0,3.1500000000000004,83
QN1101,11,6,0.5454545454545454,3.3363636363636364,1893
QN1102,21,6,0.2857142857142857,3.776190476190476,6627
QN1103,7,2,0.2857142857142857,4.085714285714285,2739
QN1104,10,4,0.4,3.5100000000000002,1347
QN1201,59,35,0.5932203389830508,3.171186440677966,1926
QN1202,6,2,0.3333333333333333,2.25,83
QN1203,6,1,0.16666666666666666,3.1666666666666665,268
QN1204,2,0,0.0,3.2,70
QN1205,5,1,0.2,3.56,307
QN1206,12,5,0.4166666666666667,2.55,197
QN1301,25,15,0.6,2.932,1897
QN1302,18,12,0.6666666666666666,3.611111111111111,1732
QN1303,14,8,0.5714285714285714,3.5928571428571425,226
QN1304,3,2,0.6666666666666666,4.566666666666666,17
QN1306,5,1,0.2,2.8,207
QN1307,7,4,0.5714285714285714,3.471428571428571,267
QN1401,4,1,0.25,3.575,15
QN1402,4,2,0.5,3.025,197
QN8081,1,0,0.0,2.6,25
QN8191,1,0,0.0,4.0,480
QN8381,5,2,0.4,1.7,381
SI0101,5,2,0.4,3.22,34
SI0102,2,1,0.5,4.4,537
SI0103,4,2,0.5,2.675,151
SI0104,7,3,0.42857142857142855,2.3857142857142857,80
SI0105,24,11,0.4583333333333333,3.1291666666666664,650
SI0106,5,0,0.0,4.4799999999999995,295
SI0107,12,4,0.3333333333333333,3.516666666666667,438
SI0201,7,1,0.14285714285714285,4.271428571428571,455
SI0202,12,6,0.5,3.6833333333333336,621
SI0203,1,0,0.0,0.0,0
SI0204,6,2,0.3333333333333333,1.9000000000000001,551
SI0291,1,1,1.0,4.0,11
SI0302,7,2,0.2857142857142857,3.5285714285714285,401
SI0304,1,0,0.0,4.1,37
SI0305,3,1,0.3333333333333333,2.6999999999999997,412
