restaurant_id,latitude,longitude,nta,zone_id,in_manhattan_nta,in_modeled_microzone
e9YhJDXXWQWG0pPQP5uocQ,40.69443359010637,-73.99227139999999,,,False,False
ye-TSU-mu1Gd5TAJOpI5Mg,40.694149,-73.9928131,,,False,False
d_TC6Om2EBTzHVm_lCgNtg,40.715,-73.99706,MN27,,True,False
6zM0c7vvoddgza_qvKkATw,40.713698030071896,-73.99719300331864,MN27,,True,False
Lp8vAE5nHSt5zbu-lSGK8A,40.71422,-73.99864,MN27,,True,False
kcywDOgRlBPLW3eTMUgxEw,40.69473,-73.99361,,,False,False
J1gSUqhIIkOPY75ao0N4QQ,40.690863,-73.989727,,,False,False
Yw6HeHZ0OutaEHlcQY35GA,40.69232,-73.98696,,,False,False
X155pxtcrY7l7Awh5zzm7g,40.690063,-73.994621,,,False,False
i1E3Ruu4367E2MQn3xreZw,40.69602125249984,-73.98718159321939,,,False,False
jSxzhGJFFFSmSQgcpeA8cQ,40.70260616341824,-73.98691324439608,,,False,False
W56-4f1QnmCKtMKMAWTL9g,40.6854065,-73.9918173,,,False,False
yzAJOjAV7BnLZpbISHZfWg,40.714782,-73.998374,MN27,,True,False
uT9AowKJcAN59Mteud36lA,40.69213,-73.98847,,,False,False
8hW316kTNi-QNF_A6GNfCA,40.6906774173472,-73.9919811487198,,,False,False
cj29fQ6XybMJrEmdU5EuDw,40.694762,-73.993687,,,False,False
5rX_7IkvFx5MKqS3ikQe3Q,40.698465,-73.992802,,,False,False
rSJAtekGHxeixVpTlOBxyg,40.716256,-73.989697,MN27,,True,False
odjG3tlh-K8LDqYmxmkJXA,40.6883,-73.98926,,,False,False
Zr_5TbYqfyIaumN9Njw2IA,40.69207434113311,-73.9875789731741,,,False,False
mv8dMMzzrzalso3sYCP_QA,40.68451,-73.99225,,,False,False
EK0MZEi2FWssyN2OHoxAdQ,40.692128,-73.98716,,,False,False
5RbMoHGNOHUf9OLO-zPx9Q,40.69137,-73.99786,,,False,False
d_XcXj-FkfSFp8aeJZAqkw,40.68439633046863,-73.98950839999999,,,False,False
SB4t6vWpxlVQAfCQ3oC1BQ,40.693685,-73.992154,,,False,False
BXoW0AUDE7WZJcY-Vhqlbg,40.6859591,-73.9941661,,,False,False
ZHSSqpcuqzA5xcobuqBNZA,40.71383,-73.98702,MN28,,True,False
9pI_G9xGiTY4YCcfe9eoPA,40.6879459,-73.988257,,,False,False
lQ7H-COT5duZQQ0XqGFPDg,40.684805,-73.992051,,,False,False
yxl68RiKIphAvBIVWVBqhw,40.702823868431,-73.986965569752,,,False,False
MM1-h4aiJEgX13-oUXg-uw,40.69157189450252,-73.98710301031764,,,False,False
wOpKm1Rugkq0MqbAN1ZO6g,40.71301,-73.98982,MN28,,True,False
HDDBpOKpKqRza-IhiE4CTw,40.68921,-73.99245,,,False,False
QaXo7ZhglTcSWHLQ8QNY4A,40.690933,-73.983087,,,False,False
NSHYDmfb8uSUij8yG6KmgQ,40.68521647633198,-73.97774534110201,,,False,False
EFWgKMyT2krr9RpUeCxysA,40.69669432176333,-73.98303987384314,,,False,False
B0R-buSLWRbGFWpmqk_WZQ,40.69333,-73.97172,,,False,False
YJFCtr-IPDI0iDeAAe3x2A,40.6897951,-73.9783869,,,False,False
M45jHhTaU6ePHDEibXk9nQ,40.68395637263593,-73.97887026679817,,,False,False
ptgu17Y_jD60815rPTEN1w,40.69111133561928,-73.98317680696722,,,False,False
S5ItalpL6lIosnBfWJm7uw,40.6883351,-73.9814049,,,False,False
3A7Ux2PhL36U53_WpLEaog,40.68440225957236,-73.9788566,,,False,False
iuvxJzqIxYHYBgbooZINIQ,40.68540576644624,-73.9803092,,,False,False
79tuTkX_lPft7hMxFVjENg,40.693045,-73.971443,,,False,False
-JBFRO2z1Fr6og-3VGYRxQ,40.687318869309735,-73.9724778,,,False,False
2mLfrkonO09VjNy-XdgqTQ,40.68599177425206,-73.97856491785058,,,False,False
jgjbIqLGvmTtVofwo8na7w,40.689410527677225,-73.97031847948298,,,False,False
koHZAQrevA7Br41AjNApgA,40.69305,-73.97067,,,False,False
zhYOs9K09gzjkxVPVJUZZA,40.68847,-73.98033,,,False,False
mqoiTzsqtuMoWTHJbxYQuQ,40.691020824013606,-73.98295519999999,,,False,False
HFOiW4RvijuoblE4DD3JwA,40.69083682329224,-73.98289908550117,,,False,False
flNSjeYFO5oSvLQt6mKFpw,40.693296,-73.969526,,,False,False
2o81UcXgpg345kMDPlHEDQ,40.685223610178966,-73.97774748867172,,,False,False
pSAAr8srYYt4SUQP4r0Bhw,40.6896,-73.96982,,,False,False
Yk2jsRD1ZLKVoxT4JXmlRA,40.68394,-73.978808,,,False,False
Eqf_6y_B2efiWdvlCoC1jA,40.6888099,-73.98329,,,False,False
UWCXjkFrHpC4-i8_EmvEag,40.6896496280966,-73.98005533498507,,,False,False
Pv51B3SzP4OqUbJncEeF1g,40.685722469553326,-73.98112067055222,,,False,False
_fxwI1dUGgJvQhGAAlCFzw,40.68969,-73.97758,,,False,False
xIZP2-b_DwH4O2zcD2fLtA,40.69329244499551,-73.9663137,,,False,False
L6SO-YMj4pxN4iznAacWBA,40.71279944508383,-73.95890849999999,,,False,False
mg6pemwG9UOxAEwwMM6Tqg,40.71003,-73.9584,,,False,False
fiPKqhW7BGq3aURuLPQn9Q,40.712887,-73.962588,,,False,False
b7YBJ1xaMTk8G_JJpG5j6Q,40.71535,-73.96009,,,False,False
iXrKGRzIZK0pp31mO3nBzA,40.6933894,-73.9679912,,,False,False
7UJRw4Klt5yfE7q9vznEHA,40.7107199,-73.9582771,,,False,False
8W2uLei5ByivArvQrTvaYg,40.71147,-73.95777,,,False,False
8CLRBawvdzyGdmzvTFBfHA,40.691076,-73.95519,,,False,False
4yPqqJDJOQX69gC66YUDkA,40.709945,-73.962478,,,False,False
j9TdOBSQ1LRw8v3hW5fObQ,40.7112263,-73.9613152,,,False,False
BSZ68sheaUGhOIZvaFa-WA,40.70785364521343,-73.9556597,,,False,False
34zyzLqKbwSqCnF2vMtIRA,40.71318,-73.96368,,,False,False
mHRu4KZXYM_RwyFXBGncsA,40.71471,-73.95921,,,False,False
FdB6KDTEmX8HvomPwySAHg,40.6841,-73.95422,,,False,False
jqmAJWn8UpeiHBTu0n-xOg,40.70855315917253,-73.95864102859288,,,False,False
YD8oghdbgRdk0DlHZxqMbA,40.693253,-73.966323,,,False,False
ar-eXuU8NpGF-j5bNnbWMg,40.6864134766389,-73.9543789190812,,,False,False
a4WZUTKn90dOkeY38JHNjQ,40.71565949513071,-73.96474490331111,,,False,False
Q_yMJFXE2oH2e55q5l52Rw,40.68875,-73.96033,,,False,False
rNldYbdOcJRGmLgD29ZELA,40.715466047429295,-73.96020875181198,,,False,False
G77Q6kU-7qRefColCRTS0w,40.71618788546057,-73.96651754323669,,,False,False
iSjPBJRiWqrgxW7ZM3CGig,40.71442,-73.960441,,,False,False
CSY0HDcb1Kwy4FhIRkDwLA,40.713045,-73.95904,,,False,False
zJcxZQbTSAP3q4Fy-6WAyw,40.7091679,-73.9558028,,,False,False
bQKpGh38cK4c-zKNT08U5g,40.69328481287504,-73.96793367384768,,,False,False
NqClP0P8qQnVmiT5gs1HfA,40.69099,-73.95563,,,False,False
_PEYh9RL0HnQ2jyjqog4MA,40.7139494929757,-73.96152711819373,,,False,False
4rasslxwedHuFMCjEnlZBA,40.6939057,-73.963057,,,False,False
tq-38Ccfd7gUo9JUpr3byw,40.6996899,-73.95647,,,False,False
_U-zwq-huIBxGx1ITaCq_Q,40.69412,-73.95915,,,False,False
cFNJ_dGdlk9VGM2bAigDzQ,40.70976350074766,-73.96246226499564,,,False,False
3Xj4KiYZkuqd3y4waETa6A,40.70933835849003,-73.96102020734394,,,False,False
fahnqhxhFqyMAHKVC01sSA,40.6952229685817,-73.9563989639282,,,False,False
mGDnAjANR_GGpdnvYnVo1Q,40.7148676,-73.9617411,,,False,False
Sxh9mGkaAGML2tfyNWRgmQ,40.70792,-73.95574,,,False,False
qNvbwTe3VtS7RtwhS1IkPA,40.68676767206668,-73.9570064,,,False,False
QDRR34aCeeEhrL98gG6Obw,40.689673412113,-73.9653054186587,,,False,False
J2fxYEwLWc_ifoBjA8lXzQ,40.693225,-73.966018,,,False,False
109GtGdJjPDLbGgnnld3Kw,40.6932443,-73.9686472,,,False,False
ArfL-sU2FaB73WV1qQ4c6Q,40.71244,-73.96275,,,False,False
wZtLVgtXXVRSL99lS9Ti2g,40.683807,-73.967674,,,False,False
XIJiFTGlFn0pDrqza4SetQ,40.71620965950339,-73.9599394,,,False,False
zPK48x2wvTmJTQ_13bbeRQ,40.68721320846039,-73.95675573448415,,,False,False
A_e9adJ7v_U7trur2JMrgA,40.69521556810472,-73.95653717055181,,,False,False
lNV-bBLb9iTFCmbeGakwGw,40.7077128,-73.9611326,,,False,False
nUk29UWKpe01xvHKJlWadw,40.70323,-73.95699,,,False,False
HqK03Yy0-fkQMHYe0O2SqQ,40.69648,-73.95829,,,False,False
HaTf5zgzNhVRxBvqikh_GA,40.7064193025944,-73.9605776275129,,,False,False
iyJV-8GxhzWY0fWvi6llEw,40.69983077227583,-73.95385519999999,,,False,False
kUIqNXEzcHoso3O6qhAlUg,40.7038117,-73.957996,,,False,False
JVNH3KfshX0ZcAe7_UJFAw,40.7161440086706,-73.95907391147544,,,False,False
i4cyV13lYIS4mcJKZW75cA,40.714324,-73.961257,,,False,False
Nz2-gYA6gkZNDclZ4kIaDg,40.693873,-73.955677,,,False,False
B73kcWdUixrovBU2JXjoZA,40.7105573761851,-73.9538214151183,,,False,False
b-xpzu5nlhxw7qe745K9hw,40.6942529,-73.9560939,,,False,False
uP7nQod7n1AXcFqGpFLowQ,40.70393,-73.95483,,,False,False
b0WM4uBIDBOJH0V9DgQRtA,40.70170746684499,-73.94321994111917,,,False,False
IbB_7AxWQtDFW1iKnoD1Ug,40.71165,-73.94529,,,False,False
