restaurant_id,latitude,longitude,nta,zone_id,in_nyc_nta,in_modeled_microzone
m739Oky-38HCaVK4dEpatA,40.72977,-73.953761,BK76,nta-bk76,True,True
LTfXpILp9GtabkM9ooLeGg,40.74277,-73.95271,QN31,nta-qn31,True,True
FOo4cAriPHujTlq5uDmWtw,40.7398136,-73.9473807,QN31,nta-qn31,True,True
VpEy7E9fij06n7BRrzvEaw,40.72191,-73.957873,BK73,bk-williamsburg,True,True
tt2AyUkXX_bzM6ZLolvjFA,40.7452405973087,-73.9806823576721,MN20,nta-mn20,True,True
kpxXi23lUQkeJQH-2BtzDw,40.71855361763294,-73.95712655370754,BK73,bk-williamsburg,True,True
Xcxare_6mb-PKSWYfIK6rg,40.74447,-73.95316,QN31,nta-qn31,True,True
_URXTaYBbd2XX5qJbDkKAg,40.717799,-73.957446,BK73,bk-williamsburg,True,True
fasv22-1GSaRpT-7LVLxEA,40.74614419965123,-73.94248531490877,QN31,nta-qn31,True,True
gUJ6pHYd_fp2Ypq377P_vA,40.721021,-73.962177,BK73,bk-williamsburg,True,True
mBFnE5EDUwpZiEsSf_1piA,40.7440144504923,-73.9537688118532,QN31,nta-qn31,True,True
SbyudNYzawWZPLTQpZRldw,40.72985,-73.95068,BK76,nta-bk76,True,True
3xTlLfIwh_IFkxoXNU8tYQ,40.72553,-73.9519495,BK76,nta-bk76,True,True
bjbSj4Z-PGaw2IXFLAPtsw,40.7303,-73.9546,BK76,nta-bk76,True,True
4TCGVAV0N-LYmUDebTetww,40.745145632560586,-73.97829927612284,MN20,nta-mn20,True,True
waxytN8kkSBQldtdCCai_Q,40.74386,-73.97926,MN20,nta-mn20,True,True
7fDylE6fckLR5jLYJcRvrw,40.7247029246308,-73.9480696991086,BK76,nta-bk76,True,True
Y_fI5w5msnoi-Q17fYc3ng,40.72922013430399,-73.9779707,MN28,nta-mn28,True,True
BZcG-xN3DCxlfhckBZYeuw,40.74534,-73.97761,MN20,nta-mn20,True,True
eNTSHku5luyZTB7KCB8HDw,40.7239701248716,-73.9760099351406,MN28,nta-mn28,True,True
crGzdbSByQCyFzpLrQsX8w,40.74588,-73.94622,QN31,nta-qn31,True,True
LyVdu3yXM_wKqa2e2bgAdg,40.73518124692902,-73.98000359113702,MN21,mn-chelsea,True,True
xiwnLiNhSlEN4CDcurqsLQ,40.745222741725954,-73.97918210165679,MN20,nta-mn20,True,True
mw-2zyzteB8CAnkWzNZqXw,40.743589,-73.954078,QN31,nta-qn31,True,True
nD7Hcq5aaCASbWzc0-Sg3A,40.72364794334453,-73.97895782110994,MN28,nta-mn28,True,True
4KHjnRNvrkKHchEznhlnSA,40.718371,-73.95733,BK73,bk-williamsburg,True,True
WlhkVLite9TQrtnzYLiO4Q,40.71888826316649,-73.95896523276603,BK73,bk-williamsburg,True,True
p3fHkjlZB5HGw_AuxT5VlA,40.72525,-73.95177,BK76,nta-bk76,True,True
yvVdYc93a_m94mlwMxzrRQ,40.72733777865593,-73.9468522745319,BK76,nta-bk76,True,True
kd3P92cY-cb1mH0UkxwBzg,40.73036164079713,-73.98059558245167,MN22,mn-nyu-wash-sq,True,True
qTZ-9_ZPaedIJ2rHJAph_A,40.74376083223464,-73.97309969213347,MN19,mn-lic-adj,True,True
dojqrb4DWCES7Ds3E_UI8w,40.72777,-73.97938,MN22,mn-nyu-wash-sq,True,True
vi8TIAXcKoEMHYQI8n05Gg,40.74022,-73.94416,QN31,nta-qn31,True,True
PHkBGoJCJs0uEIIODLm80A,40.7393471,-73.9769319,MN20,nta-mn20,True,True
xk-Q_MlM4C_XU80MmYFtqg,40.745216,-73.977592,MN20,nta-mn20,True,True
5DvqBI-1pjvde7dwoH8enQ,40.72474,-73.94755,BK76,nta-bk76,True,True
3dcQoNQAv8Ifzi5suGd7Ew,40.723172,-73.944887,BK76,nta-bk76,True,True
kfvNo8TC4APsh6YP2YEVKQ,40.74248,-73.977792,MN20,nta-mn20,True,True
Va_mnsEvBghHXvc7uZIWJQ,40.744722,-73.981202,MN20,nta-mn20,True,True
k0fnJRSV8tzM2bzkvFdlGg,40.71783,-73.94651,BK90,nta-bk90,True,True
JwCnSW-RQ7_DxvbzWNO1hA,40.74094,-73.98139,MN20,nta-mn20,True,True
TN0UMGiVF3xZaEZF5ROyAg,40.7164057211455,-73.96218207116382,BK73,bk-williamsburg,True,True
