nta,median_household_income,population_16plus,inspection_count,avg_score,critical_violation_rate,trip_count,unique_start_station_count,restaurant_count,halal_count,halal_share,avg_rating,total_review_count
BX1091,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX1101,68188.0,22667,,,,0.0,0.0,15.0,5.0,0.3333333333333333,2.9466666666666668,374.0
BX1102,78057.0,18734,,,,0.0,0.0,5.0,3.0,0.6,3.3600000000000003,365.0
BX1103,89199.0,23683,,,,0.0,0.0,3.0,1.0,0.3333333333333333,3.4333333333333336,66.0
BX1104,45598.0,26624,,,,0.0,0.0,4.0,4.0,1.0,0.95,33.0
BX1161,,480,,,,0.0,0.0,2.0,0.0,0.0,3.6,153.0
BX1201,54678.0,44679,,,,0.0,0.0,6.0,1.0,0.1666666666666666,2.466666666666667,106.0
BX1202,69232.0,41772,,,,0.0,0.0,4.0,0.0,0.0,2.475,77.0
BX1203,77649.0,40493,,,,0.0,0.0,9.0,6.0,0.6666666666666666,3.211111111111111,66.0
BX1271,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX2691,106249.0,56,,,,193.0,2.0,0.0,0.0,0.0,0.0,0.0
BX2791,67498.0,26,,,,102.0,1.0,0.0,0.0,0.0,0.0,0.0
BX2891,45499.0,36,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0101,198961.0,42669,,,,71975.0,34.0,65.0,24.0,0.3692307692307692,3.6046153846153848,9480.0
MN0102,200000.0,19520,,,,57759.0,23.0,23.0,4.0,0.1739130434782608,3.065217391304348,7394.0
MN0191,,0,,,,799.0,3.0,1.0,0.0,0.0,4.2,11.0
MN0201,132900.0,20098,,,,74334.0,20.0,22.0,8.0,0.3636363636363636,3.55,14356.0
MN0202,174062.0,29212,,,,88087.0,20.0,45.0,12.0,0.2666666666666666,4.082222222222222,35178.0
MN0203,168629.0,30051,,,,85996.0,22.0,22.0,3.0,0.1363636363636363,4.072727272727272,17139.0
MN0301,34385.0,33951,,,,46545.0,17.0,22.0,4.0,0.1818181818181818,3.8318181818181816,25361.0
MN0302,58841.0,40677,,,,73830.0,22.0,22.0,8.0,0.3636363636363636,4.295454545454546,29317.0
MN0303,76136.0,63253,,,,147146.0,39.0,73.0,17.0,0.2328767123287671,3.9753424657534246,57431.0
MN0401,126272.0,56623,,,,192995.0,42.0,46.0,17.0,0.3695652173913043,3.910869565217392,25360.0
MN0402,105839.0,51733,,,,81789.0,20.0,50.0,10.0,0.2,3.986,41651.0
MN0501,182280.0,27496,,,,115409.0,22.0,35.0,12.0,0.3428571428571428,4.12,25935.0
MN0502,148446.0,20454,,,,133327.0,42.0,112.0,28.0,0.25,4.073214285714285,80711.0
MN0601,160855.0,19394,,,,21264.0,7.0,0.0,0.0,0.0,0.0,0.0
MN0602,153720.0,23913,,,,37801.0,10.0,16.0,4.0,0.25,3.975,9246.0
MN0603,141463.0,50375,,,,93293.0,23.0,32.0,11.0,0.34375,3.484375,7528.0
MN0604,170196.0,37976,,,,56891.0,18.0,61.0,18.0,0.2950819672131147,3.691803278688525,12311.0
MN0661,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0701,164712.0,58260,,,,58612.0,14.0,20.0,5.0,0.25,3.435,4657.0
MN0702,159333.0,84372,,,,52141.0,21.0,54.0,9.0,0.1666666666666666,3.5685185185185184,19809.0
MN0703,100165.0,45157,,,,23277.0,12.0,19.0,9.0,0.4736842105263157,3.8157894736842106,1747.0
MN0801,137355.0,68256,,,,51033.0,16.0,32.0,10.0,0.3125,3.790625,9928.0
MN0802,200000.0,46036,,,,37566.0,17.0,22.0,6.0,0.2727272727272727,3.395454545454545,2732.0
MN0803,147475.0,70123,,,,33304.0,14.0,22.0,4.0,0.1818181818181818,3.5454545454545454,10431.0
MN0901,87452.0,34703,,,,14648.0,11.0,19.0,5.0,0.2631578947368421,3.478947368421052,2543.0
MN0902,46819.0,18085,,,,7609.0,12.0,10.0,3.0,0.3,3.3,3865.0
MN0903,68527.0,45434,,,,8069.0,18.0,24.0,2.0,0.0833333333333333,3.4875000000000003,3830.0
MN1001,74007.0,40837,,,,25573.0,13.0,22.0,9.0,0.4090909090909091,3.363636363636364,6636.0
MN1002,51386.0,70709,,,,18929.0,26.0,15.0,5.0,0.3333333333333333,2.9866666666666664,288.0
MN1101,42076.0,49182,,,,20675.0,16.0,23.0,9.0,0.391304347826087,3.0478260869565217,262.0
MN1102,39957.0,51381,,,,23568.0,27.0,21.0,7.0,0.3333333333333333,2.333333333333333,880.0
MN1191,,2321,,,,2237.0,4.0,0.0,0.0,0.0,0.0,0.0
MN1201,56929.0,65546,,,,7534.0,21.0,19.0,7.0,0.3684210526315789,2.863157894736842,539.0
MN1202,78465.0,64582,,,,6063.0,23.0,16.0,2.0,0.125,3.1625,257.0
MN1203,68523.0,31823,,,,2077.0,13.0,5.0,1.0,0.2,4.12,43.0
MN1291,,0,,,,1061.0,6.0,0.0,0.0,0.0,0.0,0.0
MN1292,,14,,,,721.0,4.0,0.0,0.0,0.0,0.0,0.0
MN6491,,0,,,,38045.0,10.0,4.0,0.0,0.0,3.175,2571.0
QN0101,99639.0,41735,,,,18445.0,38.0,22.0,13.0,0.5909090909090909,3.772727272727273,7420.0
QN0102,92319.0,11630,,,,7289.0,11.0,5.0,1.0,0.2,3.54,215.0
QN0103,106539.0,43050,,,,22672.0,18.0,50.0,17.0,0.34,3.658,16198.0
QN0104,79177.0,32279,,,,18975.0,30.0,61.0,31.0,0.5081967213114754,3.595081967213115,6178.0
QN0105,63572.0,23231,,,,18697.0,23.0,27.0,13.0,0.4814814814814814,3.4074074074074074,2668.0
QN0151,,3538,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0161,174998.0,43,,,,1268.0,3.0,3.0,1.0,0.3333333333333333,2.766666666666667,73.0
QN0171,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0191,,0,,,,1728.0,3.0,0.0,0.0,0.0,0.0,0.0
QN0201,162099.0,23856,,,,34199.0,26.0,28.0,10.0,0.3571428571428571,3.7857142857142856,3585.0
QN0202,80933.0,40561,,,,16735.0,34.0,31.0,13.0,0.4193548387096774,3.94516129032258,3661.0
QN0203,76333.0,40181,,,,8928.0,34.0,18.0,7.0,0.3888888888888889,2.838888888888889,1809.0
QN0261,,0,,,,792.0,2.0,2.0,1.0,0.5,1.9,5.0
QN0271,,0,,,,121.0,2.0,0.0,0.0,0.0,0.0,0.0
QN0301,76981.0,78435,,,,13738.0,44.0,54.0,15.0,0.2777777777777778,3.490740740740741,8207.0
QN0302,81328.0,22846,,,,2881.0,26.0,3.0,2.0,0.6666666666666666,2.1333333333333333,53.0
QN0303,80332.0,30972,,,,1340.0,15.0,3.0,1.0,0.3333333333333333,3.8666666666666663,20.0
QN0401,71466.0,82725,,,,9352.0,34.0,44.0,18.0,0.4090909090909091,3.434090909090909,10402.0
QN0402,66188.0,53196,,,,2501.0,25.0,5.0,3.0,0.6,2.3600000000000003,95.0
QN0501,85360.0,33998,,,,3215.0,25.0,5.0,2.0,0.4,3.28,170.0
QN0502,83952.0,56998,,,,17793.0,44.0,17.0,7.0,0.4117647058823529,3.4176470588235293,504.0
QN0503,93584.0,28901,,,,1024.0,4.0,2.0,0.0,0.0,3.85,403.0
QN0504,92989.0,29150,,,,0.0,0.0,7.0,2.0,0.2857142857142857,3.3857142857142857,1095.0
QN0571,,0,,,,239.0,1.0,0.0,0.0,0.0,0.0,0.0
QN0572,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0573,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0574,174998.0,12,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0601,80469.0,24308,,,,0.0,0.0,22.0,5.0,0.2272727272727272,2.777272727272728,1475.0
QN0602,103420.0,75935,,,,0.0,0.0,44.0,9.0,0.2045454545454545,3.3659090909090907,7249.0
QN0701,91788.0,24748,,,,0.0,0.0,5.0,1.0,0.2,3.56,1547.0
QN0702,96690.0,24299,,,,0.0,0.0,4.0,0.0,0.0,4.025,783.0
QN0703,104357.0,19799,,,,0.0,0.0,3.0,0.0,0.0,3.266666666666667,749.0
QN0704,73518.0,45342,,,,0.0,0.0,10.0,3.0,0.3,3.68,2551.0
QN0705,59016.0,26040,,,,0.0,0.0,4.0,2.0,0.5,4.125,416.0
QN0706,73641.0,15962,,,,0.0,0.0,5.0,1.0,0.2,3.4200000000000004,765.0
QN0707,51113.0,52740,,,,0.0,0.0,33.0,8.0,0.2424242424242424,3.733333333333333,8500.0
QN0761,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0791,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0801,85596.0,27635,,,,0.0,0.0,24.0,3.0,0.125,3.275,1400.0
QN0802,76746.0,29566,,,,0.0,0.0,14.0,7.0,0.5,3.928571428571429,1220.0
QN0803,93941.0,17032,,,,0.0,0.0,19.0,6.0,0.3157894736842105,3.363157894736842,3070.0
QN0804,87965.0,20414,,,,0.0,0.0,16.0,7.0,0.4375,2.325,777.0
QN0805,87638.0,31307,,,,0.0,0.0,15.0,6.0,0.4,3.3866666666666663,1644.0
QN0871,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0891,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0901,91115.0,19812,,,,0.0,0.0,8.0,2.0,0.25,3.4625,1560.0
QN0902,87270.0,27605,,,,0.0,0.0,10.0,7.0,0.7,1.96,257.0
QN0903,86469.0,19766,,,,0.0,0.0,9.0,3.0,0.3333333333333333,2.9000000000000004,499.0
QN0904,87067.0,21350,,,,0.0,0.0,7.0,4.0,0.5714285714285714,2.6714285714285717,137.0
QN0905,91556.0,34073,,,,0.0,0.0,4.0,2.0,0.5,4.125,76.0
QN1001,98335.0,67853,,,,0.0,0.0,42.0,23.0,0.5476190476190477,3.023809523809524,3058.0
QN1002,82476.0,18771,,,,0.0,0.0,10.0,6.0,0.6,3.18,480.0
QN1003,94559.0,24528,,,,0.0,0.0,2.0,0.0,0.0,3.1500000000000004,83.0
QN1091,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN1101,92728.0,28801,,,,0.0,0.0,11.0,6.0,0.5454545454545454,3.3363636363636364,1893.0
QN1102,110049.0,29079,,,,0.0,0.0,21.0,6.0,0.2857142857142857,3.776190476190476,6627.0
QN1103,115480.0,21742,,,,0.0,0.0,7.0,2.0,0.2857142857142857,4.085714285714285,2739.0
QN1104,102730.0,20635,,,,0.0,0.0,10.0,4.0,0.4,3.51,1347.0
QN1191,,97,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN1201,59944.0,46320,,,,0.0,0.0,59.0,35.0,0.5932203389830508,3.171186440677966,1926.0
QN1202,74912.0,33429,,,,0.0,0.0,6.0,2.0,0.3333333333333333,2.25,83.0
QN1203,82152.0,34640,,,,0.0,0.0,6.0,1.0,0.1666666666666666,3.1666666666666665,268.0
QN1204,73248.0,26381,,,,0.0,0.0,2.0,0.0,0.0,3.2,70.0
QN1205,100043.0,45425,,,,0.0,0.0,5.0,1.0,0.2,3.56,307.0
QN1206,84178.0,18979,,,,0.0,0.0,12.0,5.0,0.4166666666666667,2.55,197.0
QN1301,110237.0,19786,,,,0.0,0.0,25.0,15.0,0.6,2.932,1897.0
QN1302,107765.0,22997,,,,0.0,0.0,18.0,12.0,0.6666666666666666,3.611111111111111,1732.0
QN1303,95650.0,47535,,,,0.0,0.0,14.0,8.0,0.5714285714285714,3.5928571428571425,226.0
QN1304,114138.0,16994,,,,0.0,0.0,3.0,2.0,0.6666666666666666,4.566666666666666,17.0
QN1305,112321.0,22836,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN1306,113251.0,19574,,,,0.0,0.0,5.0,1.0,0.2,2.8,207.0
QN1307,110038.0,22682,,,,0.0,0.0,7.0,4.0,0.5714285714285714,3.471428571428571,267.0
QN1371,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN1401,58632.0,46718,,,,0.0,0.0,4.0,1.0,0.25,3.575,15.0
QN1402,53981.0,31981,,,,0.0,0.0,4.0,2.0,0.5,3.025,197.0
QN1403,112035.0,20498,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN1491,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN8081,,0,,,,0.0,0.0,1.0,0.0,0.0,2.6,25.0
