id,name,categories,rating,review_count,price,latitude,longitude,is_closed,search_term,anchor_name
4IETE4KQMMWIfM32JkWDdQ,Guac Time,"Halal, Mexican",2.7,15,,40.612877,-74.130526,False,halal,grid_r04_c04
Avrtjv8WYtwX67jKxj79Xg,Detox Juice Bar & Kabab Grill,"Juice Bars & Smoothies, Kebab, Breakfast & Brunch",4.5,22,,40.624570347355984,-74.1423352,False,halal,grid_r04_c04
n6IIhxU8h90Iy8FkoTshkA,Chicken Zinger Burger,"Burgers, Chicken Wings, Sandwiches",5.0,5,,40.61231,-74.12964,False,halal,grid_r04_c04
NWztt_cjPbt3enT0_j6suw,Charcoal Gardenia,"Coffee & Tea, Halal, Barbeque",4.3,33,,40.61714525201474,-74.1240725411045,False,halal,grid_r04_c04
MfX5bTnCxEgmCo_RQsBMAg,Cafe Juliet,Cafes,4.2,80,$$,40.613112,-74.126521,False,halal,grid_r04_c04
m4RfhzJX_ZZsB5n9FRTuxA,Victory Halal Food/Meat & Grocery,"Grocery, Halal, Meat Shops",5.0,1,,40.61287,-74.12692,False,halal,grid_r04_c04
W6YwZ4t3vWw98WESNQoywg,Halal Master Staten Island,"Food Trucks, Fast Food",0.0,0,,40.6241282,-74.13716,False,halal,grid_r04_c04
Exlgsnzm5KjkooYE7AH3Uw,Yolpaqui Taqueria,Mexican,4.0,206,$$,40.62504,-74.13652,False,halal,grid_r04_c04
eRBcBaXw3TjQE9CfQqKJzA,Papa Halal Chicken Corporation,Halal,3.5,30,$,40.62523,-74.14849,False,halal,grid_r04_c04
5E2BG2QZhbS-HWI3oAN3Hw,Charcoal BBQ,Barbeque,3.1,8,,40.62594,-74.13471,False,halal,grid_r04_c04
8XSYMsCM98xxFVxhb7tPQg,Crown Chicken Peri Peri Chicken & BBQ Grill,"Halal, Burgers, Barbeque",2.6,9,,40.6123688858697,-74.1296585767651,False,halal,grid_r04_c04
0aJ9a31QRRKJtEUilAa-bA,Island Kosher,"Sushi Bars, Grocery, Kosher",5.0,3,,40.61198479999999,-74.1369283,False,halal,grid_r04_c04
o_m6C3hjnORnbqHUFRjcGQ,Island Pita,"Kosher, Middle Eastern, Falafel",0.0,0,,40.611966,-74.137022,False,halal,grid_r04_c04
0_TkwDcJALPRPSyzh9BZdA,La Bella Pizza,Pizza,4.3,16,$,40.6244163,-74.138613,False,halal,grid_r04_c04
beILZHnGvC98CO59aOmo1w,Island Grocery,"Grocery, Halal, Indian",3.6,16,$,40.6131963057268,-74.1232953978945,False,halal,grid_r04_c04
mQyM8Bkme8cbx0NIGOOn_Q,Meat up,Kosher,5.0,1,,40.61277300660028,-74.1305278,False,halal,grid_r04_c04
_fDPAkTRI4zaagMHU2QXRg,Dairy Palace,"Pizza, Sushi Bars, Kosher",2.7,20,$$,40.6119838,-74.1370926,False,halal,grid_r04_c04
MHE_pGlUjzj875cLoDjLoQ,Spice Rack,"Desserts, Halal, Indian",0.0,0,,40.61329,-74.123144,False,halal,grid_r04_c04
oI-7XNSVyM0T82LyIGLIxw,Sayori Japanese Restaurant,"Japanese, Sushi Bars, Poke",4.0,83,$$,40.62422739381342,-74.136337,False,halal,grid_r04_c04
wvMzJgUi5FtTIy2feREMDg,Kaifeng,"Noodles, Asian Fusion, Kosher",2.7,3,,40.613115,-74.130535,False,halal,grid_r04_c04
PIghk0pzDwMIk7RnYZ-kTQ,Manor Deli and Convenience,"Grocery, Delis, Convenience Stores",0.0,0,,40.61687,-74.123969,False,halal,grid_r04_c04
ORD7lOcTMvyuMPo7sIYdIA,IHOP,"Breakfast & Brunch, American, Burgers",2.8,203,$$,40.6243058,-74.1481977,False,halal,grid_r04_c04
bWa21KPz6haXktz-UG0uYw,Italian Touch Pizza & Pasta,"Pasta Shops, Chicken Wings, Pizza",0.0,0,,40.60467810009836,-74.12119729999999,False,halal,grid_r04_c04
H1QJJbOxu78Pno0iknp6Vw,Quick Bite,"Falafel, Burgers, Halal",5.0,1,,40.61557,-74.10329,False,halal,grid_r04_c05
plg7u7G2UZFdn4ovmgonyQ,Lion Dance,"Dim Sum, Bubble Tea, Noodles",4.9,52,,40.616231,-74.103138,False,halal,grid_r04_c05
PtgINv7ZAz-UZBUB-2-MuQ,El Nile Market,Delis,0.0,0,,40.61643229821342,-74.10302877075263,False,halal,grid_r04_c05
Dw3K838V9IdjM2wRGFgAwg,Sunnyside Gourmet Deli,"Juice Bars & Smoothies, Breakfast & Brunch, Delis",0.0,0,,40.61557,-74.10327,False,halal,grid_r04_c05
o8uchrRi6HJwdjGhg8Z4mQ,My Pizza,"Pizza, Italian, Burgers",2.9,56,$,40.608933,-74.087853,False,halal,grid_r04_c06
35bJdPviyOHhiFHOFStN4Q,Al Humza,"Halal, Pakistani, Indian",3.1,19,$,40.6114672081574,-74.0885573724213,False,halal,grid_r04_c06
R1vBfmDrM8pF0cVXJh5NeA,Halal Nuke,"Mediterranean, Halal, Burgers",5.0,1,,40.61720755742044,-74.0675568333585,False,halal,grid_r04_c06
7YJxZAvMxB-oVZfHAuvBmw,Lakruwana Restaurant,Sri Lankan,4.4,496,$$,40.62571,-74.075373,False,halal,grid_r04_c06
uT7n0zMX76bEZui-eAhr2A,Tolins Gourmet Deli,Delis,4.0,2,,40.60456,-74.084361,False,halal,grid_r04_c06
hijFJe8NNd90jFT_CvCvuw,Saucy,"Desserts, Cheesesteaks, Burgers",4.0,1,,40.598451,-74.08091,False,halal,grid_r04_c06
oJlBHxTnd-TurpXoc-Oreg,Halal Kennedy Fried Chicken,"Comfort Food, Chicken Shop",0.0,0,,40.61166,-74.08812,False,halal,grid_r04_c06
tUgaTRrh0fAumEjjcfMYCw,Pronto Pizza Pasta,"Pizza, Pasta Shops",2.8,94,$,40.6171287525133,-74.067723099456,False,halal,grid_r04_c06
zsIzptR5JoBxC9LxeroLYw,Bay Ridge House Of Wings,"Chicken Wings, Burgers, Sandwiches",4.2,72,,40.62178,-74.031946,False,halal,grid_r04_c07
cJfbydHniqWsGL2VHVDHEg,Bombay Grill,"Indian, Halal",3.8,293,$$,40.62238,-74.03183,False,halal,grid_r04_c07
tBPbg9RuXPOPbdxyGitZbw,Campo Bello II,Spanish,3.5,87,$$,40.6180801,-74.0293732,False,halal,grid_r04_c07
us_ZsxNnzKKsYDF7fwQLFQ,Mid China,Chinese,3.6,32,$,40.6161111613312,-74.03044107286078,False,halal,grid_r04_c07
eIh7_-UaTRbS069JX6NaoQ,Energy Fuel,"Breakfast & Brunch, Juice Bars & Smoothies, Wraps",2.8,105,$$,40.61560296967869,-74.0315688,False,halal,grid_r04_c07
VP_HZr_j0dXKd80lUBfsyg,The Wicked Monk,"New American, Beer Bar, Sandwiches",3.9,363,$$,40.616988,-74.03400958895493,False,halal,grid_r04_c07
bpSnGiD_K9bfzp8ASca6cg,King Souvlaki,Greek,3.7,157,$$,40.6249416237812,-74.0306266000825,False,halal,grid_r04_c07
X4YuMX1KgFxIc3pNkRDBZA,The Kettle Black,"Chicken Wings, Sports Bars, Burgers",3.6,478,$$,40.6228872,-74.0314751980126,False,halal,grid_r04_c07
WekK6vHrQZ-81CijH2sGiw,Middle Eastern Halal Food,"Halal, Middle Eastern, Food Trucks",4.0,164,$,40.6212580747582,-74.0261940658092,False,halal,grid_r04_c08
DWR54ugpSThnDub4xeHWow,Karam Restaurant,"Middle Eastern, Halal",4.0,429,$,40.622938,-74.028089,False,halal,grid_r04_c08
awRxWGb5C77OYCa-g32fUg,Ruzana,"Kebab, Halal, Middle Eastern",4.2,228,$,40.6222117,-74.0259828,False,halal,grid_r04_c08
DUQ_zAooasLBGNUkmQf-tw,Fire Kabob,"Middle Eastern, Seafood, Chicken Wings",4.6,43,,40.621127,-74.025037,False,halal,grid_r04_c08
P_tV_XbWb-zZk8uLeFi4wQ,Khorasan Kabab & Gyro,"Halal, Afghan, Middle Eastern",4.6,17,,40.60191,-74.00211,False,halal,grid_r04_c08
